X,Y,Scaled_X,Scaled_Y
-121.74722686,38.5376087,136.60526936175947,154.74534328175469
-121.74722114,38.53763328,136.67219080574546,155.51238722924117
-121.74720895,38.53765662,136.8148083583807,156.24073571304922
-121.74719394,38.53768341,136.99041865092792,157.0767449625043
-121.74717808,38.53771504,137.17597356371502,158.06379134408124
-121.74715895,38.53775043,137.3997860151788,159.16817235711397
-121.74713887,38.53778672,137.63471304212658,160.30063878714668
-121.74712069,38.53782863,137.8474109181064,161.60848304415285
-121.74710303,38.53787132,138.0540250264511,162.94066799601057
-121.7470826,38.53791549,138.29304689708573,164.31903785606528
-121.74706029,38.53795657,138.55406392760628,165.60098111713992
-121.74704026,38.53800144,138.78840597676574,167.00119519054002
-121.74702285,38.5380488,138.9920951970002,168.47911225106952
-121.74700702,38.53809224,139.17729912308107,169.83470171713088
-121.74699186,38.53813197,139.3546643486607,171.07451685281637
-121.7469757,38.53817077,139.54372912734635,172.2853103906322
-121.74695714,38.53820797,139.76087283338674,173.44617429810265
-121.7469383,38.53824448,139.98129241457613,174.58550605244366
-121.74691757,38.53827918,140.22382415110934,175.66835491234698
-121.74689113,38.53831571,140.53316033600436,176.80831078689823
-121.74685987,38.53835084,140.89888836702343,177.90457823498045
-121.74682862,38.53838806,141.26449940241832,179.06606626288286
-121.74680828,38.53840732,141.50246831326677,179.66709418898864
-121.74678803,38.538425,141.73938426416277,180.21881660518102
-121.74676949,38.53844654,141.95629397928735,180.8909942549891
-121.74674816,38.53847005,142.20584544778393,181.6246477620255
-121.74674199,38.53847101,142.27803169053462,181.6546055403214
-121.74673047,38.53847068,142.4128105426686,181.64430755408068
-121.74672214,38.53847557,142.51026782028794,181.79690498706074
-121.74670683,38.5384858,142.6893879789,182.11614256141002
-121.74669413,38.53848959,142.8379723037124,182.23441337351377
-121.74668032,38.53849393,142.99954313249913,182.36984749616656
-121.74666466,38.53849823,143.18275813463177,182.50403337795538
-121.74664766,38.5385032,143.38165053793315,182.65912729244164
-121.74662552,38.53851093,143.6406786443392,182.90034981944552
-121.74659803,38.53852312,143.96229935996232,183.2807511912506
-121.74657677,38.53853178,144.2110318595885,183.55099531590244
-121.74655268,38.53854199,144.49287409475085,183.86960877004145
-121.74652703,38.53855279,144.7929676326522,184.20663377537173
-121.74648201,38.53856681,145.31968151483593,184.64414216204648
-121.74643356,38.53857626,145.88652486418667,184.93903904176588
-121.74638019,38.53858506,146.51093001507184,185.21365200921986
-121.74632037,38.53859318,147.21079728352416,185.46704488353868
-121.74625777,38.53860295,147.94318930989058,185.77192768928282
-121.74620485,38.53861431,148.56232966184476,186.1264280653781
-121.74615592,38.53862783,149.13478879666644,186.54833344258378
-121.74611021,38.53864189,149.66957537059977,186.98709006990074
-121.74606966,38.53866026,150.14399225018005,187.56034463922254
-121.74603231,38.53868174,150.5809705597878,188.23064992773467
-121.7459971,38.53870585,150.99291182577522,188.9830270461783
-121.74596449,38.53873031,151.37443425342093,189.74632627129463
-121.74593045,38.53875787,151.77268704218784,190.6063641553853
-121.74589434,38.53879195,152.19515790587093,191.6698652834494
-121.74585535,38.53883064,152.6513234827122,192.87722615933282
-121.74581485,38.53887229,153.12515538467045,194.17695685138844
-121.74577863,38.53891579,153.54891319922183,195.534418678524
-121.74574206,38.53896081,153.97676585746007,196.93931365472048
-121.74570542,38.53900541,154.4054374844024,198.33110210295408
-121.74566375,38.53904899,154.89295786341492,199.69106041159583
-121.74561942,38.53909247,155.41159905401534,201.04789811852112
-121.74557236,38.5391355,155.9621800245753,202.39069311683556
-121.74552187,38.53917528,156.55289046230226,203.6320685533793
-121.74547012,38.53921343,157.15834233720219,204.82257817870791
-121.74541816,38.53925358,157.76625111804822,206.07549984235632
-121.74536135,38.53929028,158.43090273172453,207.2207607403577
-121.74530394,38.53932514,159.10257407719797,208.30860256327335
-121.74524466,38.53935501,159.7961235870994,209.2407263512708
-121.74518445,38.53938133,160.50055368140272,210.06206877168307
-121.74511862,38.53940747,161.2707352642817,210.8777941088727
-121.74505335,38.53943303,162.03436509736144,211.67541995486533
-121.7449862,38.53945778,162.81999009049332,212.44776892558016
-121.74491753,38.53948194,163.62339840436636,213.20170634510376
-121.74484981,38.53950731,164.4156921425891,213.99340304743606
-121.74478681,38.53953327,165.15276399026445,214.80351130118135
