X,Y
-121.74181843,38.54035717
-121.7418353,38.54036821
-121.74185756,38.54038017
-121.74188513,38.54039012
-121.74191901,38.54039929
-121.74195568,38.54040507
-121.74199539,38.54040916
-121.74203773,38.54041126
-121.74207759,38.54040895
-121.7421182,38.54040625
-121.74215765,38.54039891
-121.74219659,38.54039165
-121.74223777,38.54038298
-121.74227835,38.54037224
-121.74231018,38.5403629
-121.74233933,38.54035318
-121.74236758,38.54034334
-121.74239926,38.54033875
-121.74242496,38.54033478
-121.74245292,38.54033151
-121.74247521,38.54032666
-121.74249722,38.54032107
-121.7425186,38.54031674
-121.74254103,38.54031322
-121.74256438,38.54030915
-121.74259043,38.54030425
-121.74261404,38.5402983
-121.7426388,38.54029363
-121.7426682,38.54028787
-121.74269337,38.54028093
-121.7427255,38.54027401
-121.74275679,38.54026816
-121.74279108,38.5402615
-121.74282259,38.54025464
-121.74285234,38.54024613
-121.74288422,38.54023469
-121.74291221,38.5402265
-121.74293923,38.54021906
-121.74296641,38.5402142
-121.74299734,38.54021184
-121.74302408,38.54021208
-121.74305208,38.54021385
-121.74308438,38.54021684
-121.74312086,38.54022329
-121.74316228,38.54023296
-121.74320864,38.54024277
-121.74325276,38.5402513
-121.74329691,38.54025796
-121.74334156,38.54026365
-121.74338253,38.54027096
-121.74342412,38.5402794
-121.74346715,38.54028713
-121.74350871,38.54029284
-121.74355615,38.54029441
-121.74360776,38.54029206
-121.74366619,38.54028523
-121.74372547,38.54027647
-121.74378416,38.5402663
-121.74384661,38.54025692
-121.74390786,38.54024912
-121.74397016,38.54024153
-121.74403471,38.54023522
-121.74409731,38.540227
-121.744161,38.54021804
-121.74422397,38.54020818
-121.74428761,38.54020052
-121.74435091,38.54019259
-121.74441485,38.54018701
-121.74447639,38.54018247
-121.74453339,38.54018001
-121.74458713,38.54018089
-121.74463482,38.54018267
-121.74467959,38.54018656
-121.74472047,38.54019108
-121.74475939,38.54019592
-121.74479477,38.54020071
-121.74482558,38.54020663
-121.74485586,38.54021069
-121.74488391,38.54021391
-121.74490964,38.54021632
-121.74493562,38.54021947
-121.74496365,38.54022019
-121.74499322,38.54021622
-121.74502501,38.5402084
-121.74505848,38.5401997
-121.7450938,38.54019039
-121.74513164,38.5401806
-121.74517017,38.54016815
-121.74520621,38.54015583
-121.74524122,38.54014326
-121.7452765,38.54013089
-121.74531273,38.5401187
-121.74534925,38.54010754
-121.74538445,38.54009948
-121.74541849,38.54009732
-121.74544954,38.54010087
-121.74547961,38.54010986
-121.74550749,38.54012265
-121.74553214,38.54013788
-121.74555602,38.5401512
-121.74558084,38.5401619
-121.74560707,38.54017076
-121.74563511,38.54017932
-121.7456662,38.54018684
-121.74569346,38.5401939
-121.74572212,38.54020054
-121.74575399,38.54020518
-121.745788,38.54020752
-121.7458215,38.54020609
-121.74585519,38.54020197
-121.74588764,38.54019455
-121.74592102,38.54018729
-121.74595387,38.54018009
-121.745991,38.54017296
-121.74602786,38.5401644
-121.74606159,38.54015447
-121.74609278,38.54014592
-121.74612018,38.54013807
-121.74614736,38.54012901
-121.74617316,38.54011965
-121.74619832,38.54011032
-121.74622618,38.54010154
-121.74625416,38.54009137
-121.74628249,38.54007976
-121.74631107,38.54006876
-121.74634204,38.54005843
-121.74637364,38.54004731
-121.74640382,38.5400357
-121.74643646,38.54002385
-121.74646671,38.54001133
-121.74649735,38.53999927
-121.7465284,38.53998798
-121.7465616,38.53997488
-121.74659422,38.53995864
-121.74662401,38.5399413
-121.74665196,38.53992458
-121.74667949,38.53990828
-121.74670381,38.53989398
-121.74672659,38.53988027
-121.74674351,38.53987022
-121.74674512,38.5398667
-121.7467382,38.539868
-121.74672678,38.5398715
-121.74671535,38.53987835
-121.74670689,38.53988866
-121.74670087,38.53990148
-121.74670022,38.53991972
-121.74670058,38.53993907
-121.74670129,38.53995913
-121.74670184,38.53997958
-121.74670253,38.54000233
-121.74670279,38.54002599
-121.74670083,38.54004849
-121.74669738,38.54006835
-121.7466958,38.54008305
-121.74669553,38.54009581
-121.74669495,38.54010357
-121.74669616,38.5401095
-121.74669974,38.54011363
-121.74670543,38.54011631
-121.74671513,38.5401186
-121.74672553,38.5401199
-121.74673722,38.54012041
-121.74674635,38.54011993
-121.74675648,38.54011952
-121.74676651,38.54011823
-121.74677528,38.54011581
-121.74678366,38.54011336
-121.74679393,38.54011177
-121.74680372,38.54010948
-121.74681279,38.54010714
