X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-121.74478681,38.53953327,0,0,73,,,,,,,,,,,,,,,,,,,,,,,
-121.74472589,38.53956016,0,0,74,,,,,,,,,,,,,,,,,,,,,,,
-121.74466752,38.53958496,0,0,75,,,,,,,,,,,,,,,,,,,,,,,
-121.74461637,38.53961023,0,0,76,,,,,,,,,,,,,,,,,,,,,,,
-121.74457235,38.53963679,0,0,77,,,,,,,,,,,,,,,,,,,,,,,
-121.74453326,38.53966294,0,0,78,,,,,,,,,,,,,,,,,,,,,,,
-121.74449375,38.53968914,0,0,79,,,,,,,,,,,,,,,,,,,,,,,
-121.74444878,38.53971347,0,0,80,,,,,,,,,,,,,,,,,,,,,,,
-121.74440401,38.53973815,0,0,81,,,,,,,,,,,,,,,,,,,,,,,
-121.74436057,38.5397626,0,0,82,,,,,,,,,,,,,,,,,,,,,,,
-121.74431508,38.53978576,0,0,83,,,,,,,,,,,,,,,,,,,,,,,
-121.7442735,38.53980697,0,0,84,,,,,,,,,,,,,,,,,,,,,,,
-121.74423131,38.53982415,0,0,85,,,,,,,,,,,,,,,,,,,,,,,
-121.74418451,38.53983958,0,0,86,,,,,,,,,,,,,,,,,,,,,,,
-121.74413424,38.53985448,0,0,87,,,,,,,,,,,,,,,,,,,,,,,
-121.74408069,38.53986674,0,0,88,,,,,,,,,,,,,,,,,,,,,,,
-121.74402775,38.53987945,0,0,89,,,,,,,,,,,,,,,,,,,,,,,
-121.74397861,38.53989187,0,0,90,,,,,,,,,,,,,,,,,,,,,,,
-121.74392657,38.53990304,0,0,91,,,,,,,,,,,,,,,,,,,,,,,
-121.74387394,38.53991265,0,0,92,,,,,,,,,,,,,,,,,,,,,,,
-121.7438217,38.53992109,0,0,93,,,,,,,,,,,,,,,,,,,,,,,
-121.74376947,38.53992853,0,0,94,,,,,,,,,,,,,,,,,,,,,,,
-121.74371627,38.53993535,0,0,95,,,,,,,,,,,,,,,,,,,,,,,
-121.74366118,38.53994068,0,0,96,,,,,,,,,,,,,,,,,,,,,,,
-121.74360293,38.5399446,0,0,97,,,,,,,,,,,,,,,,,,,,,,,
-121.74354455,38.53994838,0,0,98,,,,,,,,,,,,,,,,,,,,,,,
-121.74348788,38.5399514,0,0,99,,,,,,,,,,,,,,,,,,,,,,,
-121.74343383,38.53995024,0,0,100,,,,,,,,,,,,,,,,,,,,,,,
-121.7434023,38.539949,0,0,101,,,,,,,,,,,,,,,,,,,,,,,
-121.74337373,38.53994992,0,0,102,,,,,,,,,,,,,,,,,,,,,,,
-121.74335136,38.53994937,0,0,103,,,,,,,,,,,,,,,,,,,,,,,
-121.74333232,38.53994879,0,0,104,,,,,,,,,,,,,,,,,,,,,,,
-121.74331535,38.5399465,0,0,105,,,,,,,,,,,,,,,,,,,,,,,
-121.74329961,38.5399428,0,0,106,,,,,,,,,,,,,,,,,,,,,,,
-121.7432823,38.53993769,0,0,107,,,,,,,,,,,,,,,,,,,,,,,
-121.74326179,38.53993205,0,0,108,,,,,,,,,,,,,,,,,,,,,,,
-121.74324767,38.53992996,0,0,109,,,,,,,,,,,,,,,,,,,,,,,
-121.74323062,38.53992498,0,0,110,,,,,,,,,,,,,,,,,,,,,,,
-121.74321189,38.53991976,0,0,111,,,,,,,,,,,,,,,,,,,,,,,
-121.7431875,38.53991952,0,0,112,,,,,,,,,,,,,,,,,,,,,,,
-121.74315641,38.53992101,0,0,113,,,,,,,,,,,,,,,,,,,,,,,
-121.74313322,38.53992318,0,0,114,,,,,,,,,,,,,,,,,,,,,,,
-121.74310812,38.53992579,0,0,115,,,,,,,,,,,,,,,,,,,,,,,
-121.74308295,38.53992789,0,0,116,,,,,,,,,,,,,,,,,,,,,,,
-121.74305324,38.53992668,0,0,117,,,,,,,,,,,,,,,,,,,,,,,
-121.74301764,38.53992486,0,0,118,,,,,,,,,,,,,,,,,,,,,,,
-121.74297219,38.53992304,0,0,119,,,,,,,,,,,,,,,,,,,,,,,
-121.74291781,38.53991933,0,0,120,,,,,,,,,,,,,,,,,,,,,,,
-121.74285556,38.53991571,0,0,121,,,,,,,,,,,,,,,,,,,,,,,
-121.74279112,38.53991357,0,0,122,,,,,,,,,,,,,,,,,,,,,,,
-121.74272695,38.53991279,0,0,123,,,,,,,,,,,,,,,,,,,,,,,
-121.74266414,38.53991168,0,0,124,,,,,,,,,,,,,,,,,,,,,,,
-121.74260438,38.5399097,0,0,125,,,,,,,,,,,,,,,,,,,,,,,
-121.742544,38.53990639,0,0,126,,,,,,,,,,,,,,,,,,,,,,,
-121.74248568,38.53990397,0,0,127,,,,,,,,,,,,,,,,,,,,,,,
-121.74243087,38.53990314,0,0,128,,,,,,,,,,,,,,,,,,,,,,,
-121.74238217,38.53990243,0,0,129,,,,,,,,,,,,,,,,,,,,,,,
-121.74233796,38.53989924,0,0,130,,,,,,,,,,,,,,,,,,,,,,,
-121.74229969,38.53989628,0,0,131,,,,,,,,,,,,,,,,,,,,,,,
-121.74226864,38.539894,0,0,132,,,,,,,,,,,,,,,,,,,,,,,
-121.74224231,38.53989166,0,0,133,,,,,,,,,,,,,,,,,,,,,,,
-121.74222296,38.53988841,0,0,134,,,,,,,,,,,,,,,,,,,,,,,
-121.74220911,38.53988713,0,0,135,,,,,,,,,,,,,,,,,,,,,,,
-121.74219828,38.5398879,0,0,136,,,,,,,,,,,,,,,,,,,,,,,
-121.74218824,38.53988768,0,0,137,,,,,,,,,,,,,,,,,,,,,,,
-121.74217881,38.5398886,0,0,138,,,,,,,,,,,,,,,,,,,,,,,
-121.74216938,38.53989001,0,0,139,,,,,,,,,,,,,,,,,,,,,,,
-121.74216105,38.53989192,0,0,140,,,,,,,,,,,,,,,,,,,,,,,
-121.74215417,38.53989717,0,0,141,,,,,,,,,,,,,,,,,,,,,,,
-121.74214582,38.53990357,0,0,142,,,,,,,,,,,,,,,,,,,,,,,
-121.74213685,38.53991178,0,0,143,,,,,,,,,,,,,,,,,,,,,,,
-121.7421244,38.53992183,0,0,144,,,,,,,,,,,,,,,,,,,,,,,
-121.74210543,38.53993282,0,0,145,,,,,,,,,,,,,,,,,,,,,,,
-121.74208657,38.53994458,0,0,146,,,,,,,,,,,,,,,,,,,,,,,
-121.74206886,38.53995677,0,0,147,,,,,,,,,,,,,,,,,,,,,,,
-121.74205322,38.53996811,0,0,148,,,,,,,,,,,,,,,,,,,,,,,
-121.7420377,38.53997857,0,0,149,,,,,,,,,,,,,,,,,,,,,,,
-121.74202341,38.53998743,0,0,150,,,,,,,,,,,,,,,,,,,,,,,
-121.7420101,38.53999665,0,0,151,,,,,,,,,,,,,,,,,,,,,,,
-121.74199634,38.54000617,0,0,152,,,,,,,,,,,,,,,,,,,,,,,
