X,Y
127.91,244.94
127.78,245.73
127.66,246.49
127.53,247.21
127.41,247.92
127.3,248.55
127.21,249.16
127.12,249.76
127.02,250.3
126.91,250.75
126.81,251.09
126.7,251.34
126.57,251.6
126.43,251.85
126.3,252.22
126.19,252.64
126.11,253.11
126.05,253.59
125.99,254.15
125.93,254.74
125.86,255.47
125.82,256.3
125.77,257.19
125.71,258.16
125.66,259.11
125.57,260.02
125.46,260.86
125.33,261.66
125.18,262.47
125.05,263.27
124.89,263.98
124.75,264.72
124.61,265.44
124.49,266.15
124.37,266.94
124.24,267.78
124.1,268.58
123.95,269.5
123.81,270.43
123.7,271.46
123.6,272.53
123.51,273.55
123.44,274.5
123.37,275.39
123.31,276.25
123.23,277.13
123.13,277.99
123.03,278.82
122.92,279.56
122.83,280.36
122.73,281.21
122.59,282.05
122.43,282.97
122.24,283.85
122.07,284.8
121.92,285.85
121.83,286.72
121.75,287.39
121.65,287.94
121.51,288.33
121.34,288.69
121.14,288.93
120.91,289.08
120.67,289.12
120.39,289.12
120.1,288.99
119.78,288.72
119.43,288.4
119.07,288.04
118.64,287.65
118.19,287.25
117.71,286.89
117.22,286.55
116.71,286.21
116.22,285.91
115.78,285.58
115.34,285.21
114.9,284.9
114.42,284.59
113.97,284.3
113.55,284.1
113.08,284.03
112.62,284.08
112.16,284.33
111.68,284.81
111.26,285.44
110.94,286.43
110.69,287.54
110.53,288.72
110.49,289.96
110.54,291.18
110.66,292.4
110.83,293.62
111.01,294.74
111.21,295.76
111.36,296.55
111.47,297.21
111.55,297.76
111.56,298.24
111.48,298.73
111.4,299.15
111.34,299.45
111.33,299.57
111.33,299.54
111.31,299.45
111.29,299.51
111.27,299.61
111.23,299.76
111.14,300.0
111.08,299.96
111.02,299.57
110.91,298.7
110.78,297.5
110.66,296.02
110.59,294.4
110.54,292.77
110.52,291.11
110.5,289.52
110.46,287.89
110.41,286.26
110.4,284.65
110.45,283.16
110.5,281.64
110.58,280.21
110.67,278.83
110.79,277.43
110.93,276.05
111.06,274.56
111.21,273.01
111.35,271.36
111.47,270.3
111.57,269.34
111.65,268.53
111.74,267.75
111.86,266.78
111.97,266.08
112.1,265.38
112.25,264.61
112.36,263.98
112.44,263.3
112.54,262.64
112.62,261.96
112.7,261.19
112.77,260.6
112.83,259.99
112.91,259.43
113.02,258.89
113.11,258.4
113.12,257.86
113.03,257.3
113.04,256.98
113.0,256.59
112.92,256.05
112.76,255.53
112.54,255.02
112.39,254.58
112.23,254.14
112.07,253.65
111.92,253.05
111.75,252.44
111.54,251.83
111.3,251.22
111.02,250.6
110.67,249.94
110.26,249.22
109.82,248.5
109.35,247.78
108.88,247.02
108.5,246.22
108.18,245.31
107.9,244.36
107.65,243.43
107.39,242.44
107.16,241.43
106.94,240.45
106.74,239.56
106.52,238.66
106.24,237.82
105.94,237.04
105.56,236.28
105.15,235.59
104.77,234.93
104.42,234.4
104.05,234.09
103.67,233.85
103.26,233.73
102.85,233.55
102.51,233.43
102.2,233.46
101.91,233.56
101.64,233.67
101.35,233.77
101.0,233.83
100.55,233.81
100.01,233.7
99.41,233.49
98.77,233.25
98.11,232.95
97.41,232.69
96.71,232.42
96.04,232.08
95.38,231.72
94.76,231.35
94.17,230.96
93.59,230.56
92.99,230.2
92.59,230.01
92.24,229.87
91.93,229.8
91.66,229.75
91.4,229.69
91.09,229.54
90.88,229.45
90.67,229.33
90.45,229.18
90.18,229.02
89.94,228.91
89.62,228.72
89.22,228.43
88.72,228.04
88.14,227.61
87.55,227.09
86.92,226.6
86.24,226.11
85.56,225.63
84.91,225.19
84.3,224.78
83.73,224.32
83.21,223.85
82.72,223.43
82.26,223.09
81.82,222.89
81.42,222.81
81.02,222.77
80.67,222.8
80.33,222.8
80.01,222.78
79.66,222.76
79.34,222.71
79.02,222.59
78.76,222.46
78.53,222.23
78.35,221.93
78.18,221.48
78.05,220.86
77.98,220.19
77.95,219.47
77.93,218.74
77.91,217.98
77.89,217.18
77.9,216.34
77.96,215.44
78.05,214.47
78.16,213.56
78.3,212.76
78.42,212.02
78.53,211.33
78.68,210.61
78.83,209.9
78.98,209.22
79.11,208.54
79.19,207.87
79.23,207.14
79.19,206.31
79.07,205.54
78.91,204.76
78.69,204.03
78.43,203.36
78.12,202.72
77.78,202.16
77.41,201.8
77.02,201.6
76.59,201.49
76.13,201.45
75.69,201.51
75.25,201.69
74.79,201.84
74.29,202.01
73.78,202.21
73.28,202.39
72.8,202.41
72.4,202.3
72.06,202.04
71.75,201.68
71.47,201.18
71.29,200.63
71.16,200.06
71.05,199.57
70.95,199.22
70.82,198.95
70.66,198.71
70.46,198.43
70.28,198.15
70.08,197.84
69.87,197.59
69.67,197.37
69.49,197.17
69.28,196.99
69.01,196.93
68.72,196.88
68.36,196.89
68.0,196.88
67.61,196.84
67.18,196.82
66.74,196.78
66.3,196.73
65.85,196.62
65.41,196.49
64.96,196.43
64.48,196.4
64.0,196.45
63.55,196.59
63.09,196.73
62.66,196.93
62.31,197.23
61.99,197.48
61.67,197.72
61.37,198.03
61.08,198.41
60.81,198.78
60.55,199.06
60.3,199.3
60.07,199.71
59.85,200.18
59.65,200.58
59.46,200.91
59.25,201.11
59.02,201.25
58.77,201.28
58.49,201.33
58.17,201.43
57.84,201.55
57.51,201.62
57.16,201.71
56.81,201.7
56.43,201.66
56.02,201.24
55.6,200.55
55.24,199.7
54.93,198.77
54.63,197.76
54.32,196.94
54.04,196.29
53.75,195.86
53.46,195.48
53.17,195.12
52.87,194.8
52.56,194.53
52.26,194.31
51.95,194.11
51.62,193.91
51.26,193.77
50.9,193.72
50.52,193.71
50.09,193.75
49.65,193.84
49.2,193.95
48.72,194.16
48.22,194.45
47.68,194.78
47.16,195.08
46.69,195.4
46.25,195.71
45.82,195.98
45.42,196.22
45.0,196.42
44.57,196.56
44.12,196.66
43.69,196.74
43.25,196.76
42.81,196.79
42.4,196.78
42.0,196.75
41.58,196.67
41.17,196.57
40.75,196.48
40.39,196.41
40.03,196.34
39.65,196.34
39.26,196.42
38.85,196.49
38.46,196.56
38.08,196.68
37.71,196.77
37.33,196.9
37.02,197.0
36.73,197.14
36.4,197.26
36.07,197.38
35.73,197.45
35.39,197.49
35.02,197.52
34.63,197.6
34.22,197.7
33.79,197.84
33.38,197.95
32.95,198.01
32.55,197.94
32.18,197.73
31.89,197.38
31.64,196.99
31.45,196.55
31.25,196.06
31.1,195.49
30.96,194.82
30.82,194.24
30.69,193.66
30.58,193.13
30.5,192.67
30.46,192.26
30.42,191.77
30.37,191.27
30.29,190.73
30.19,190.18
30.11,189.65
29.99,189.16
29.86,188.64
29.76,188.27
29.7,187.87
29.71,187.51
29.78,187.2
29.87,186.91
29.99,186.68
30.14,186.44
30.31,186.2
30.49,185.94
30.64,185.65
30.78,185.34
30.91,184.95
31.0,184.49
31.06,183.95
31.1,183.51
31.16,183.17
31.22,182.85
31.29,182.48
31.36,182.08
31.44,181.66
31.54,181.27
31.65,180.87
31.78,180.44
31.86,180.11
31.93,179.78
32.0,179.38
32.07,178.86
32.16,178.27
32.26,177.52
32.36,176.74
32.44,175.89
32.54,175.03
32.63,174.22
32.76,173.45
32.88,172.69
33.01,171.89
33.09,171.08
33.11,170.02
33.12,168.9
33.09,167.79
32.97,166.66
32.73,165.5
32.53,164.33
32.32,163.21
32.12,162.22
31.89,161.25
31.61,160.34
31.26,159.55
30.87,158.86
30.42,158.31
29.9,157.94
29.34,157.65
28.73,157.53
28.07,157.32
27.45,157.0
26.91,156.6
26.43,156.1
26.04,155.57
25.73,155.0
25.44,154.43
25.21,153.81
25.03,153.14
24.87,152.34
24.68,151.53
24.46,150.72
24.21,149.94
23.97,149.29
23.7,148.73
23.44,148.23
23.24,147.72
23.09,147.24
22.97,146.78
22.92,146.34
22.91,145.84
22.94,145.28
22.99,144.65
23.1,144.07
23.23,143.36
23.38,142.57
23.51,141.75
23.6,140.97
23.65,140.17
23.66,139.26
23.6,138.42
23.45,137.6
23.31,136.92
23.12,136.33
22.79,135.8
22.54,135.36
22.32,134.91
22.16,134.49
22.01,134.1
21.84,133.61
21.69,133.0
21.59,132.56
21.5,132.13
21.46,131.67
21.46,131.11
21.45,130.56
21.39,129.93
21.32,129.32
21.26,128.68
21.23,128.03
21.18,127.46
21.19,127.05
21.27,126.81
21.36,126.61
21.52,126.39
21.66,126.25
21.85,126.07
22.03,125.93
22.23,125.81
22.43,125.65
22.69,125.38
22.97,125.0
23.26,124.49
23.49,123.99
23.7,123.39
23.88,122.74
24.02,121.91
24.11,120.92
24.12,119.92
24.05,118.95
23.92,118.06
23.71,117.26
23.41,116.54
23.06,115.91
22.69,115.41
22.29,115.0
21.86,114.64
21.41,114.35
20.99,114.06
20.59,113.79
20.26,113.49
20.03,113.19
19.87,112.81
19.75,112.4
19.75,111.96
19.8,111.47
19.9,110.61
20.01,109.46
20.09,108.16
20.13,106.81
20.03,105.61
19.86,104.48
19.55,103.54
19.3,102.82
19.12,102.38
18.95,102.09
18.77,101.97
18.62,102.04
18.54,102.19
18.52,102.31
18.57,102.49
18.66,102.71
18.79,102.76
18.92,102.64
19.02,102.57
19.06,102.44
19.08,102.19
19.08,101.9
19.08,101.55
19.14,101.05
19.24,100.39
19.37,99.53
19.51,98.63
19.55,97.89
19.57,97.12
19.6,96.33
19.61,95.48
19.62,94.59
19.64,93.62
19.66,92.55
19.72,91.47
19.8,90.28
19.87,89.03
19.9,87.76
19.88,86.54
19.72,85.34
19.42,84.32
19.06,83.39
18.67,82.61
18.24,82.01
17.77,81.53
17.42,81.31
17.08,81.13
16.79,81.0
16.52,80.9
16.22,80.8
15.97,80.74
15.72,80.74
15.46,80.78
15.21,80.8
14.96,80.77
14.72,80.65
14.49,80.43
14.27,80.07
14.18,79.68
14.08,79.14
14.01,78.49
13.92,78.06
13.82,77.7
13.75,77.42
13.69,77.16
13.66,76.76
13.65,76.28
13.67,75.66
13.7,74.98
13.72,74.29
13.68,73.62
13.59,72.92
13.45,72.32
13.22,71.72
12.96,71.21
12.66,70.82
12.32,70.51
11.95,70.21
11.55,70.13
11.14,70.1
10.71,70.08
10.23,70.05
9.81,69.98
9.46,69.93
9.18,69.88
8.96,69.83
8.79,69.78
8.67,69.74
8.58,69.77
8.52,69.9
8.49,70.07
8.46,70.14
8.46,70.14
8.46,70.11
8.45,70.1
8.55,70.03
8.64,69.71
8.7,69.33
8.76,69.01
8.83,68.75
9.01,68.59
9.27,68.69
9.6,68.97
9.91,69.48
10.17,70.22
10.4,71.16
10.61,72.35
10.78,73.77
10.89,75.28
10.97,76.83
11.08,78.55
11.21,80.31
11.31,81.34
11.37,82.3
11.43,83.26
11.42,84.39
11.41,85.27
11.39,86.16
11.42,87.17
11.46,88.1
11.53,89.18
11.63,90.42
11.64,91.61
11.54,92.76
11.36,93.8
11.04,94.75
10.63,95.58
10.23,96.32
9.87,97.02
9.55,97.65
9.24,98.35
8.91,99.2
8.55,100.0
8.15,100.77
7.74,101.42
7.33,101.97
6.9,102.41
6.42,102.77
5.9,103.04
5.36,103.25
4.78,103.38
4.19,103.5
3.57,103.64
2.95,103.79
2.35,103.88
1.8,103.9
1.35,103.89
0.98,103.84
0.71,103.71
0.52,103.52
0.38,103.32
0.29,103.13
0.25,102.87
0.25,102.55
0.29,102.2
0.37,101.86
0.47,101.44
0.57,100.98
0.66,100.52
0.76,100.11
0.85,99.71
0.96,99.42
1.05,99.09
1.14,98.78
1.22,98.47
1.27,98.17
1.33,97.79
1.37,97.38
1.39,96.96
1.47,96.42
1.53,96.04
1.6,95.77
1.71,95.61
1.87,95.49
2.07,95.38
2.3,95.32
2.54,95.29
2.8,95.24
3.07,95.2
3.36,95.19
3.62,95.24
3.85,95.32
4.05,95.41
4.22,95.52
4.35,95.72
4.45,95.97
4.55,96.29
4.67,96.52
4.8,96.61
4.95,96.65
5.14,96.69
5.34,96.7
5.57,96.7
5.83,96.7
6.09,96.72
6.34,96.71
6.59,96.65
6.77,96.59
6.91,96.54
7.02,96.45
7.17,96.27
7.31,96.05
7.48,95.8
7.66,95.54
7.86,95.33
8.1,95.18
8.39,95.07
8.73,94.94
9.11,94.8
9.53,94.68
9.95,94.58
10.38,94.47
10.8,94.34
11.21,94.17
11.58,93.85
11.9,93.46
12.17,92.99
12.4,92.48
12.61,91.85
12.77,91.14
12.88,90.42
12.95,89.76
12.98,89.15
12.99,88.55
12.98,87.95
12.94,87.36
12.91,86.81
12.88,86.38
12.84,86.06
12.78,85.82
12.71,85.64
12.65,85.49
12.59,85.37
12.54,85.31
12.53,85.22
12.51,85.16
12.55,85.02
12.58,84.92
12.61,84.86
12.63,84.83
12.68,84.58
12.68,84.71
12.72,84.02
12.72,83.7
12.72,83.47
12.72,83.31
12.72,83.18
12.73,82.81
12.72,82.85
12.72,82.81
12.71,82.86
12.71,82.9
12.71,82.93
12.7,82.95
12.7,82.95
12.89,82.36
12.97,82.17
13.02,82.04
13.06,81.95
13.16,81.78
13.24,81.64
13.51,81.21
13.5,81.28
13.5,81.32
13.56,81.32
13.6,81.38
13.62,81.44
